Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,233,37.9195,695939.8000,4989949.0000,999.0000,999.0000
PPE,234,34.1400,688959.4000,4992539.0000,999.0000,999.0000
PPE,235,34.0194,689208.8000,4992107.0000,999.0000,999.0000
PPE,236,33.7855,688460.9000,4992539.0000,999.0000,999.0000
PPE,237,33.6600,688710.3000,4992107.0000,999.0000,999.0000
PPE,238,41.7222,706044.2000,4973121.0000,999.0000,999.0000
PPE,239,41.6719,706044.2000,4972623.0000,999.0000,999.0000
PPE,240,42.1254,706475.5000,4972872.0000,999.0000,999.0000
PPE,241,41.6276,706044.2000,4972126.0000,999.0000,999.0000
PPE,242,42.0786,706475.5000,4972374.0000,999.0000,999.0000
PPE,243,35.3966,691452.3000,4991676.0000,999.0000,999.0000
PPE,244,35.4909,691203.0000,4992107.0000,999.0000,999.0000
PPE,245,35.0194,690953.8000,4991676.0000,999.0000,999.0000
PPE,246,31.7400,685469.7000,4992539.0000,999.0000,999.0000
PPE,247,30.7754,683974.1000,4992539.0000,999.0000,999.0000
PPE,248,30.2831,683724.9000,4992107.0000,999.0000,999.0000
PPE,249,32.2592,686716.1000,4992107.0000,999.0000,999.0000
PPE,250,32.6037,687214.7000,4992107.0000,999.0000,999.0000
PPE,251,32.7446,686965.3000,4992539.0000,999.0000,999.0000
PPE,252,41.4515,705612.9000,4962915.0000,999.0000,999.0000
PPE,253,41.8454,706044.2000,4963163.0000,999.0000,999.0000
PPE,254,32.7404,682478.5000,4941256.0000,999.0000,999.0000
PPE,255,32.2432,682229.1000,4941687.0000,999.0000,999.0000
PPE,256,32.4702,681979.9000,4941256.0000,999.0000,999.0000
PPE,257,39.9586,704319.1000,4964658.0000,999.0000,999.0000
PPE,258,40.0115,704319.1000,4964160.0000,999.0000,999.0000
PPE,259,27.9301,681480.0000,4946436.0000,999.0000,999.0000
PPE,260,27.4362,681230.6000,4946867.0000,999.0000,999.0000
PPE,261,27.6310,680981.5000,4946436.0000,999.0000,999.0000
PPE,262,33.3776,684223.2000,4941687.0000,999.0000,999.0000
PPE,263,32.8817,683973.9000,4942119.0000,999.0000,999.0000
PPE,264,33.0864,683724.7000,4941687.0000,999.0000,999.0000
PPE,265,33.6737,684721.8000,4941687.0000,999.0000,999.0000
PPE,266,33.1784,684472.4000,4942119.0000,999.0000,999.0000
PPE,267,33.9745,685220.3000,4941687.0000,999.0000,999.0000
PPE,268,33.4800,684971.0000,4942119.0000,999.0000,999.0000
PPE,269,34.2800,685718.9000,4941687.0000,999.0000,999.0000
PPE,270,33.7862,685469.5000,4942119.0000,999.0000,999.0000
PPE,271,35.0822,686466.8000,4941256.0000,999.0000,999.0000
PPE,272,34.5899,686217.4000,4941687.0000,999.0000,999.0000
PPE,273,34.7730,685968.2000,4941256.0000,999.0000,999.0000
PPE,274,35.3956,686965.3000,4941256.0000,999.0000,999.0000
PPE,275,34.9041,686715.9000,4941687.0000,999.0000,999.0000
PPE,276,35.7132,687463.8000,4941256.0000,999.0000,999.0000
PPE,277,35.2227,687214.5000,4941687.0000,999.0000,999.0000
PPE,278,36.0350,687962.4000,4941256.0000,999.0000,999.0000
PPE,279,35.5454,687713.0000,4941687.0000,999.0000,999.0000
PPE,280,36.3607,688460.9000,4941256.0000,999.0000,999.0000
PPE,281,35.8721,688211.5000,4941687.0000,999.0000,999.0000
PPE,282,42.6658,706044.2000,4958682.0000,999.0000,999.0000
PPE,283,42.7849,706044.2000,4958184.0000,999.0000,999.0000
PPE,284,43.1436,706475.5000,4958433.0000,999.0000,999.0000
PPE,285,37.0237,689458.0000,4941256.0000,999.0000,999.0000
PPE,286,36.5371,689208.6000,4941687.0000,999.0000,999.0000
PPE,287,36.6903,688959.4000,4941256.0000,999.0000,999.0000
PPE,288,37.3607,689956.5000,4941256.0000,999.0000,999.0000
PPE,289,36.8753,689707.1000,4941687.0000,999.0000,999.0000
PPE,290,42.7153,706475.5000,4960425.0000,999.0000,999.0000
PPE,291,42.6221,706475.5000,4960923.0000,999.0000,999.0000
PPE,292,42.2444,706044.2000,4960674.0000,999.0000,999.0000
PPE,293,37.2170,690205.7000,4941687.0000,999.0000,999.0000
PPE,294,37.5623,690704.2000,4941687.0000,999.0000,999.0000
PPE,295,37.0787,690454.8000,4942119.0000,999.0000,999.0000
PPE,296,43.1867,706906.7000,4960176.0000,999.0000,999.0000
PPE,297,43.0916,706906.7000,4960674.0000,999.0000,999.0000
PPE,298,43.2873,706906.7000,4959678.0000,999.0000,999.0000
PPE,299,42.8141,706475.5000,4959927.0000,999.0000,999.0000
PPE,300,43.3933,706906.7000,4959180.0000,999.0000,999.0000
PPE,301,42.9184,706475.5000,4959429.0000,999.0000,999.0000
PPE,302,43.0282,706475.5000,4958931.0000,999.0000,999.0000
PPE,303,43.5048,706906.7000,4958682.0000,999.0000,999.0000
PPE,304,43.6217,706906.7000,4958184.0000,999.0000,999.0000
PPE,305,39.3379,693196.9000,4941687.0000,999.0000,999.0000
PPE,306,39.7023,693695.4000,4941687.0000,999.0000,999.0000
PPE,307,39.2260,693446.0000,4942119.0000,999.0000,999.0000
PPE,308,39.8152,693446.3000,4941256.0000,999.0000,999.0000
PPE,309,40.1783,693944.8000,4941256.0000,999.0000,999.0000
PPE,310,40.5443,694443.3000,4941256.0000,999.0000,999.0000
PPE,311,40.0696,694194.0000,4941687.0000,999.0000,999.0000
PPE,312,40.9132,694941.9000,4941256.0000,999.0000,999.0000
PPE,313,40.4396,694692.5000,4941687.0000,999.0000,999.0000
PPE,314,39.7774,694941.4000,4942982.0000,999.0000,999.0000
PPE,315,40.1595,695439.9000,4942982.0000,999.0000,999.0000
PPE,316,39.6919,695190.5000,4943414.0000,999.0000,999.0000
PPE,317,40.8124,695191.0000,4941687.0000,999.0000,999.0000
PPE,318,41.1879,695689.6000,4941687.0000,999.0000,999.0000
PPE,319,40.7169,695440.2000,4942119.0000,999.0000,999.0000
PPE,320,41.5659,696188.1000,4941687.0000,999.0000,999.0000
PPE,321,41.0962,695938.7000,4942119.0000,999.0000,999.0000
PPE,322,44.5076,705612.9000,4951463.0000,999.0000,999.0000
PPE,323,44.7024,705612.9000,4950965.0000,999.0000,999.0000
PPE,324,45.0017,706044.2000,4951214.0000,999.0000,999.0000
PPE,325,42.0357,696437.5000,4941256.0000,999.0000,999.0000
PPE,326,42.4150,696936.0000,4941256.0000,999.0000,999.0000
PPE,327,41.9465,696686.6000,4941687.0000,999.0000,999.0000
PPE,328,45.3970,706044.2000,4950218.0000,999.0000,999.0000
PPE,329,45.6016,706044.2000,4949720.0000,999.0000,999.0000
PPE,330,45.8923,706475.5000,4949969.0000,999.0000,999.0000
PPE,331,42.3296,697185.2000,4941687.0000,999.0000,999.0000
PPE,332,42.7149,697683.7000,4941687.0000,999.0000,999.0000
PPE,333,42.2491,697434.3000,4942119.0000,999.0000,999.0000
PPE,334,43.1026,698182.2000,4941687.0000,999.0000,999.0000
PPE,335,42.6382,697932.8000,4942119.0000,999.0000,999.0000
PPE,336,45.4283,706906.7000,4952209.0000,999.0000,999.0000
PPE,337,45.2503,706906.7000,4952707.0000,999.0000,999.0000
PPE,338,44.9362,706475.5000,4952458.0000,999.0000,999.0000
PPE,339,43.9560,698930.2000,4941256.0000,999.0000,999.0000
PPE,340,43.4927,698680.8000,4941687.0000,999.0000,999.0000
PPE,341,43.5673,698431.6000,4941256.0000,999.0000,999.0000
PPE,342,45.4958,706475.5000,4950965.0000,999.0000,999.0000
PPE,343,45.3044,706475.5000,4951463.0000,999.0000,999.0000
PPE,344,43.7581,699677.6000,4942551.0000,999.0000,999.0000
PPE,345,43.3012,699428.2000,4942982.0000,999.0000,999.0000
PPE,346,43.3589,699179.0000,4942551.0000,999.0000,999.0000
PPE,347,45.7979,706906.7000,4951214.0000,999.0000,999.0000
PPE,348,45.9899,706906.7000,4950716.0000,999.0000,999.0000
PPE,349,45.1350,700425.8000,4941256.0000,999.0000,999.0000
