E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       683475.600000,      4992539.000000,            0.023000,            0.035000,            0.029000,            0.009000,            0.041000,
       690455.500000,      4990812.000000,            0.039000,            0.035000,            0.037000,            0.052000,            0.005000,
       690206.100000,      4991244.000000,            0.031000,            0.030000,            0.031000,            0.044000,            0.002000,
       689957.000000,      4990812.000000,            0.029000,            0.028000,            0.028000,            0.001000,            0.040000,
       706044.200000,      4980590.000000,            0.022000,            0.018000,            0.020000,            0.028000,            0.004000,
       706475.500000,      4980839.000000,            0.018000,            0.020000,            0.019000,            0.027000,            0.001000,
       706044.200000,      4981088.000000,            0.024000,            0.018000,            0.021000,            0.003000,            0.029000,
       689458.000000,      4992539.000000,            0.027000,            0.025000,            0.026000,            0.000000,            0.037000,
       689707.300000,      4992107.000000,            0.032000,            0.026000,            0.029000,            0.041000,            0.005000,
       689956.500000,      4992539.000000,            0.020000,            0.022000,            0.021000,            0.002000,            0.030000,
       696687.500000,      4990381.000000,            0.025000,            0.031000,            0.028000,            0.005000,            0.040000,
       697186.000000,      4990381.000000,            0.020000,            0.019000,            0.020000,            0.028000,            0.001000,
       696936.600000,      4990812.000000,            0.025000,            0.026000,            0.025000,            0.036000,            0.000000,
       695689.800000,      4992107.000000,            0.027000,            0.019000,            0.022000,            0.005000,            0.032000,
       695440.400000,      4992539.000000,            0.019000,            0.023000,            0.021000,            0.030000,            0.002000,
       695191.300000,      4992107.000000,            0.020000,            0.024000,            0.022000,            0.004000,            0.031000,
       693447.100000,      4989949.000000,            0.031000,            0.028000,            0.029000,            0.001000,            0.042000,
       692948.500000,      4989949.000000,            0.026000,            0.023000,            0.024000,            0.034000,            0.003000,
       693198.000000,      4989517.000000,            0.030000,            0.022000,            0.026000,            0.004000,            0.037000,
       695690.700000,      4989517.000000,            0.029000,            0.025000,            0.027000,            0.002000,            0.038000,
       696189.300000,      4989517.000000,            0.022000,            0.030000,            0.026000,            0.037000,            0.004000,
       695939.800000,      4989949.000000,            0.021000,            0.025000,            0.023000,            0.033000,            0.002000,
       688959.400000,      4992539.000000,            0.029000,            0.024000,            0.026000,            0.037000,            0.005000,
       689208.800000,      4992107.000000,            0.028000,            0.032000,            0.030000,            0.042000,            0.001000,
       688460.900000,      4992539.000000,            0.028000,            0.031000,            0.029000,            0.004000,            0.042000,
       688710.300000,      4992107.000000,            0.028000,            0.028000,            0.028000,            0.001000,            0.039000,
       706044.200000,      4973121.000000,            0.018000,            0.019000,            0.018000,            0.026000,            0.000000,
       706044.200000,      4972623.000000,            0.017000,            0.019000,            0.018000,            0.002000,            0.025000,
       706475.500000,      4972872.000000,            0.018000,            0.021000,            0.020000,            0.003000,            0.028000,
       706044.200000,      4972126.000000,            0.026000,            0.020000,            0.023000,            0.003000,            0.033000,
       706475.500000,      4972374.000000,            0.018000,            0.020000,            0.019000,            0.027000,            0.001000,
       691452.300000,      4991676.000000,            0.030000,            0.027000,            0.028000,            0.040000,            0.004000,
       691203.000000,      4992107.000000,            0.031000,            0.025000,            0.028000,            0.003000,            0.040000,
       690953.800000,      4991676.000000,            0.029000,            0.027000,            0.028000,            0.000000,            0.040000,
       685469.700000,      4992539.000000,            0.022000,            0.025000,            0.024000,            0.033000,            0.001000,
       683974.100000,      4992539.000000,            0.040000,            0.029000,            0.034000,            0.049000,            0.010000,
       683724.900000,      4992107.000000,            0.036000,            0.036000,            0.036000,            0.051000,            0.002000,
       686716.100000,      4992107.000000,            0.032000,            0.028000,            0.030000,            0.001000,            0.043000,
       687214.700000,      4992107.000000,            0.031000,            0.032000,            0.031000,            0.044000,            0.001000,
       686965.300000,      4992539.000000,            0.027000,            0.027000,            0.027000,            0.002000,            0.038000,
       705612.900000,      4962915.000000,            0.020000,            0.021000,            0.020000,            0.029000,            0.000000,
       706044.200000,      4963163.000000,            0.019000,            0.022000,            0.020000,            0.003000,            0.029000,
       682478.500000,      4941256.000000,            0.023000,            0.020000,            0.021000,            0.001000,            0.030000,
       682229.100000,      4941687.000000,            0.028000,            0.028000,            0.028000,            0.001000,            0.040000,
       681979.900000,      4941256.000000,            0.023000,            0.022000,            0.022000,            0.032000,            0.001000,
       704319.100000,      4964658.000000,            0.027000,            0.024000,            0.026000,            0.036000,            0.003000,
       704319.100000,      4964160.000000,            0.035000,            0.023000,            0.028000,            0.041000,            0.010000,
       681480.000000,      4946436.000000,            0.029000,            0.034000,            0.031000,            0.045000,            0.001000,
       681230.600000,      4946867.000000,            0.046000,            0.046000,            0.046000,            0.003000,            0.065000,
       680981.500000,      4946436.000000,            0.036000,            0.045000,            0.040000,            0.008000,            0.057000,
       684223.200000,      4941687.000000,            0.026000,            0.036000,            0.030000,            0.008000,            0.043000,
       683973.900000,      4942119.000000,            0.040000,            0.033000,            0.036000,            0.051000,            0.007000,
       683724.700000,      4941687.000000,            0.028000,            0.036000,            0.031000,            0.007000,            0.045000,
       684721.800000,      4941687.000000,            0.030000,            0.021000,            0.025000,            0.036000,            0.008000,
       684472.400000,      4942119.000000,            0.030000,            0.024000,            0.027000,            0.003000,            0.039000,
       685220.300000,      4941687.000000,            0.033000,            0.031000,            0.032000,            0.000000,            0.046000,
       684971.000000,      4942119.000000,            0.033000,            0.029000,            0.031000,            0.044000,            0.004000,
       685718.900000,      4941687.000000,            0.028000,            0.023000,            0.025000,            0.003000,            0.036000,
       685469.500000,      4942119.000000,            0.029000,            0.030000,            0.029000,            0.041000,            0.000000,
       686466.800000,      4941256.000000,            0.025000,            0.022000,            0.024000,            0.001000,            0.033000,
       686217.400000,      4941687.000000,            0.020000,            0.033000,            0.026000,            0.011000,            0.037000,
       685968.200000,      4941256.000000,            0.024000,            0.022000,            0.023000,            0.033000,            0.003000,
       686965.300000,      4941256.000000,            0.021000,            0.022000,            0.021000,            0.002000,            0.030000,
       686715.900000,      4941687.000000,            0.026000,            0.027000,            0.026000,            0.001000,            0.037000,
       687463.800000,      4941256.000000,            0.026000,            0.027000,            0.026000,            0.037000,            0.000000,
       687214.500000,      4941687.000000,            0.025000,            0.030000,            0.027000,            0.005000,            0.038000,
       687962.400000,      4941256.000000,            0.027000,            0.022000,            0.025000,            0.002000,            0.035000,
       687713.000000,      4941687.000000,            0.023000,            0.022000,            0.023000,            0.032000,            0.002000,
       688460.900000,      4941256.000000,            0.023000,            0.030000,            0.026000,            0.037000,            0.004000,
       688211.500000,      4941687.000000,            0.025000,            0.021000,            0.023000,            0.002000,            0.033000,
       706044.200000,      4958682.000000,            0.025000,            0.023000,            0.024000,            0.000000,            0.034000,
       706044.200000,      4958184.000000,            0.021000,            0.022000,            0.021000,            0.030000,            0.000000,
       706475.500000,      4958433.000000,            0.026000,            0.018000,            0.021000,            0.005000,            0.031000,
       689458.000000,      4941256.000000,            0.024000,            0.024000,            0.024000,            0.034000,            0.001000,
       689208.600000,      4941687.000000,            0.028000,            0.023000,            0.026000,            0.002000,            0.036000,
       688959.400000,      4941256.000000,            0.025000,            0.018000,            0.021000,            0.004000,            0.031000,
       689956.500000,      4941256.000000,            0.024000,            0.022000,            0.023000,            0.000000,            0.033000,
       689707.100000,      4941687.000000,            0.023000,            0.027000,            0.025000,            0.004000,            0.035000,
       706475.500000,      4960425.000000,            0.021000,            0.020000,            0.021000,            0.000000,            0.029000,
       706475.500000,      4960923.000000,            0.027000,            0.026000,            0.026000,            0.037000,            0.002000,
       706044.200000,      4960674.000000,            0.028000,            0.021000,            0.024000,            0.034000,            0.007000,
       690205.700000,      4941687.000000,            0.026000,            0.022000,            0.024000,            0.034000,            0.004000,
       690704.200000,      4941687.000000,            0.022000,            0.034000,            0.028000,            0.009000,            0.040000,
       690454.800000,      4942119.000000,            0.025000,            0.032000,            0.028000,            0.040000,            0.003000,
       706906.700000,      4960176.000000,            0.018000,            0.016000,            0.017000,            0.001000,            0.024000,
       706906.700000,      4960674.000000,            0.017000,            0.017000,            0.017000,            0.024000,            0.000000,
